04-25-2023 	 01:08:07 	 87917471-c2b6-463d-8977-af0595d26269 	 GET 	 undefined 	 /index.html 
04-25-2023 	 01:08:40 	 0fcb735c-6742-4826-a44c-368168f9190e 	 GET 	 undefined 	 /index.html 
04-25-2023 	 01:08:40 	 a730f570-c164-4640-a5cd-d9314c42f390 	 GET 	 undefined 	 /public/css/main.css 
04-25-2023 	 01:08:40 	 7c867186-c9c6-4990-9d99-273254ec54a2 	 GET 	 undefined 	 /favicon.ico 
04-25-2023 	 01:09:17 	 5b318caa-0199-4db5-8157-62acf3ac0ded 	 GET 	 undefined 	 /index.html 
04-25-2023 	 01:09:17 	 50d9f96c-0aa3-4c18-a003-0a492ecf0d61 	 GET 	 undefined 	 /css/main.css 
04-25-2023 	 01:10:21 	 b4c6c76b-3cec-404b-8a0b-71bcea0b25e4 	 GET 	 undefined 	 /index.html 
04-25-2023 	 01:10:21 	 10438ee0-b503-439a-9eca-59a68ccb854a 	 GET 	 undefined 	 /css/main.css 
04-25-2023 	 01:10:23 	 3953a76f-ce9d-45f1-8c62-05019628bdff 	 GET 	 undefined 	 /index.html 
04-25-2023 	 01:10:23 	 88acfa97-01b2-4380-9f0b-e1e14f84d456 	 GET 	 undefined 	 /css/main.css 
04-25-2023 	 01:10:23 	 ef81c029-8906-4e80-b970-8abd77cc5aac 	 GET 	 undefined 	 /favicon.ico 
04-25-2023 	 01:10:23 	 2110b3fc-6ee5-4502-b321-a75094b4dbb7 	 GET 	 undefined 	 /index.html 
04-25-2023 	 01:10:23 	 a5efcfd8-175e-4ff1-8759-5110085475e1 	 GET 	 undefined 	 /css/main.css 
04-25-2023 	 01:10:24 	 cdc82a1e-91ed-40a9-b4f9-59eeab0e6d55 	 GET 	 undefined 	 /favicon.ico 
04-25-2023 	 01:10:24 	 7f3344a4-ad78-4f29-9522-ec4172e56ca4 	 GET 	 undefined 	 /index.html 
04-25-2023 	 01:10:24 	 e9a53bd6-6134-4805-aa10-27287cb558d7 	 GET 	 undefined 	 /css/main.css 
04-25-2023 	 01:11:33 	 656b15a9-f023-4904-b7f1-c257aaf035bb 	 GET 	 undefined 	 /index.html 
04-25-2023 	 01:11:33 	 33dfde09-6f28-414f-88dc-18dc65394086 	 GET 	 undefined 	 /css/main.css 
04-25-2023 	 01:11:35 	 728381eb-a15c-47ac-b39c-433a05d4d306 	 GET 	 undefined 	 /index.html 
04-25-2023 	 01:11:35 	 a9af16e2-67cf-4aa0-bfbd-d3c635831afe 	 GET 	 undefined 	 /css/main.css 
04-25-2023 	 01:11:37 	 479f54d7-506b-49bd-9c11-b59bd7a972e9 	 GET 	 undefined 	 /index.html 
04-25-2023 	 01:11:37 	 0734770d-6506-4186-8c55-bdff0b67d2f1 	 GET 	 undefined 	 /css/main.css 
